logm logg_abspl logg_1 logg_2 logg_3 logg_4 logg_5 logg_r20
-30.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-29.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-28.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-27.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-26.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-25.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-24.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-23.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
